parcelas,valor
8,99.33
1,24.39
1,65.71
8,107.78
2,128.45
2,96.12
1,81.16
3,51.84
6,341.09
1,51.95
8,188.73
1,141.9
1,75.78
5,102.66
4,105.28
10,157.45
1,132.04
1,98.94
4,244.15
3,136.71
4,47.69
2,170.57
4,67.5
10,353.09
1,330.66
1,45.17
2,541.0
2,139.22
2,290.16
1,283.34
1,13.78
1,30.28
1,26.58
1,89.68
1,65.09
1,173.84
1,103.49
1,64.03
3,157.15
1,130.88
2,47.72
8,117.74
1,56.6
1,266.16
1,31.38
1,121.49
1,32.0
5,153.41
5,65.71
4,278.22
4,91.66
1,132.51
4,542.66
1,166.04
1,368.98
2,113.2
3,99.43
2,27.35
4,43.77
2,68.49
2,105.53
8,387.8
1,84.14
4,210.82
1,90.05
1,67.88
2,37.58
1,89.63
1,69.46
2,78.3
1,50.8
1,34.0
1,77.1
5,566.4
8,402.42
1,57.53
3,44.01
3,187.51
3,77.7
1,48.68
1,77.29
8,117.71
3,169.34
1,37.61
1,13.8
1,227.12
3,34.78
10,342.56
7,73.34
4,117.85
1,48.62
1,53.99
1,51.14
2,121.45
1,73.34
10,117.68
1,56.77
2,115.59
6,60.07
1,27.27
1,32.15
3,195.71
1,43.12
1,88.49
3,34.09
1,40.99
3,71.99
1,47.0
3,81.78
3,231.45
7,144.2
1,35.14
10,285.79
2,176.7
2,27.63
8,134.56
4,96.98
2,110.03
1,17.78
1,44.0
4,110.11
1,22.49
4,46.63
1,52.21
2,61.77
1,121.88
1,75.75
1,130.22
3,57.53
7,76.02
1,90.17
1,31.0
10,106.77
1,163.25
1,233.66
1,163.08
4,135.93
1,267.05
7,186.72
1,30.0
4,97.28
1,48.61
1,116.7
1,41.42
1,42.19
6,125.53
5,92.76
8,348.02
2,203.3
3,44.35
10,116.05
1,85.14
4,236.66
4,220.3
1,180.55
1,45.46
1,26.08
1,375.74
5,123.41
10,379.07
10,2027.16
1,45.5
1,91.17
1,93.26
1,30.0
10,165.96
1,50.0
10,1002.73
1,116.56
2,240.52
3,33.13
1,213.9
8,362.17
2,88.72
2,46.85
1,68.54
1,32.62
8,340.08
1,82.06
1,40.95
3,67.01
1,20.0
1,76.9
4,40.27
8,242.1
1,207.24
2,215.56
1,39.92
8,156.09
2,131.5
1,137.73
1,31.75
8,348.77
1,12.22
4,139.87
12,257.1
3,269.46
